caseid,feelings_life,education,average_hours_worked,self_rated_mental_health,income_respondent,number_marriages
19892,8,"College, CEGEP or other non-university certificate or di...",40.1 to 50.0 hours,Very good,"$25,000 to $49,999",0
19893,10,High school diploma or a high school equivalency certificate,NA,Very good,"Less than $25,000",1
19894,10,Less than high school diploma or its equivalent,0.1 to 29.9 hours,Excellent,"Less than $25,000",0
19895,9,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Excellent,"$50,000 to $74,999",2
19896,9,"University certificate, diploma or degree above the bach...",30.0 to 40.0 hours,Very good,"$75,000 to $99,999",0
19897,8,High school diploma or a high school equivalency certificate,40.1 to 50.0 hours,Very good,"$25,000 to $49,999",1
19898,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$100,000 to $ 124,999",1
19899,10,"University certificate, diploma or degree above the bach...",50.1 hours and more,Excellent,"$50,000 to $74,999",0
19900,7,High school diploma or a high school equivalency certificate,NA,Good,"$25,000 to $49,999",1
19901,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Very good,"$50,000 to $74,999",0
19902,9,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$25,000 to $49,999",1
19903,8,Less than high school diploma or its equivalent,0.1 to 29.9 hours,Excellent,"$100,000 to $ 124,999",2
19904,8,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Very good,"Less than $25,000",0
19905,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Very good,"$50,000 to $74,999",0
19906,9,High school diploma or a high school equivalency certificate,NA,Very good,"Less than $25,000",1
19907,10,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Good,"$25,000 to $49,999",2
19908,9,"University certificate, diploma or degree above the bach...",30.0 to 40.0 hours,Excellent,"$125,000 and more",1
19909,1,Less than high school diploma or its equivalent,NA,Poor,"Less than $25,000",0
19910,8,"College, CEGEP or other non-university certificate or di...",NA,Very good,"$25,000 to $49,999",1
19911,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",50.1 hours and more,Excellent,"$125,000 and more",1
19912,9,Trade certificate or diploma,30.0 to 40.0 hours,Very good,"$50,000 to $74,999",1
19913,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Very good,"Less than $25,000",0
19914,8,High school diploma or a high school equivalency certificate,NA,Good,"$25,000 to $49,999",1
19915,8,Less than high school diploma or its equivalent,NA,Good,"Less than $25,000",1
19916,6,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Excellent,"$50,000 to $74,999",1
19917,9,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Excellent,"$25,000 to $49,999",1
19918,8,"College, CEGEP or other non-university certificate or di...",50.1 hours and more,Very good,"$50,000 to $74,999",1
19919,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$50,000 to $74,999",1
19920,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Excellent,"$75,000 to $99,999",0
19921,8,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Very good,"$25,000 to $49,999",1
19922,9,Less than high school diploma or its equivalent,0.1 to 29.9 hours,Excellent,"Less than $25,000",0
19923,8,High school diploma or a high school equivalency certificate,NA,Very good,"Less than $25,000",1
19924,8,Trade certificate or diploma,NA,Good,"Less than $25,000",1
19925,9,Trade certificate or diploma,NA,Good,"$25,000 to $49,999",1
19926,8,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Excellent,"$75,000 to $99,999",1
19927,3,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Good,"$50,000 to $74,999",1
19928,10,High school diploma or a high school equivalency certificate,NA,Good,"Less than $25,000",1
19929,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Very good,"$100,000 to $ 124,999",0
19930,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",50.1 hours and more,Excellent,"$25,000 to $49,999",0
19931,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$50,000 to $74,999",0
19932,10,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$50,000 to $74,999",1
19933,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0.1 to 29.9 hours,Very good,"$25,000 to $49,999",1
19934,9,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Excellent,"$125,000 and more",1
19935,8,Trade certificate or diploma,30.0 to 40.0 hours,Very good,"$50,000 to $74,999",1
19936,5,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$25,000 to $49,999",0
19937,10,"University certificate, diploma or degree above the bach...",NA,Excellent,"$50,000 to $74,999",1
19938,6,High school diploma or a high school equivalency certificate,NA,Very good,"$25,000 to $49,999",2
19939,9,"University certificate, diploma or degree above the bach...",30.0 to 40.0 hours,Good,"$75,000 to $99,999",1
19940,9,High school diploma or a high school equivalency certificate,NA,Excellent,"$25,000 to $49,999",2
19941,9,High school diploma or a high school equivalency certificate,40.1 to 50.0 hours,Excellent,"$100,000 to $ 124,999",0
19942,5,University certificate or diploma below the bachelor's level,30.0 to 40.0 hours,Good,"$50,000 to $74,999",1
19943,9,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Excellent,"$75,000 to $99,999",0
19944,5,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Good,"$25,000 to $49,999",0
19945,10,High school diploma or a high school equivalency certificate,Don't know,Good,"$25,000 to $49,999",0
19946,7,Less than high school diploma or its equivalent,NA,Very good,"Less than $25,000",1
19947,7,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Fair,"$50,000 to $74,999",1
19948,7,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Good,"$25,000 to $49,999",0
19949,8,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Excellent,"$25,000 to $49,999",2
19950,8,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Excellent,"$25,000 to $49,999",2
19951,7,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Excellent,"Less than $25,000",0
19952,10,"College, CEGEP or other non-university certificate or di...",50.1 hours and more,Excellent,"$50,000 to $74,999",1
19953,8,"University certificate, diploma or degree above the bach...",30.0 to 40.0 hours,Good,"$50,000 to $74,999",1
19954,10,High school diploma or a high school equivalency certificate,40.1 to 50.0 hours,Excellent,"$25,000 to $49,999",1
19955,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Excellent,"$50,000 to $74,999",1
19956,7,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",40.1 to 50.0 hours,Good,"$75,000 to $99,999",0
19957,8,High school diploma or a high school equivalency certificate,40.1 to 50.0 hours,Excellent,"Less than $25,000",2
19958,5,"University certificate, diploma or degree above the bach...",30.0 to 40.0 hours,Good,"$25,000 to $49,999",1
19959,8,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Very good,"$50,000 to $74,999",1
19960,7,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Very good,"$75,000 to $99,999",1
19961,7,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0.1 to 29.9 hours,Excellent,"$125,000 and more",1
19962,5,"College, CEGEP or other non-university certificate or di...",NA,Poor,"Less than $25,000",1
19963,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",50.1 hours and more,Good,"$75,000 to $99,999",1
19964,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Excellent,"Less than $25,000",1
19965,10,University certificate or diploma below the bachelor's level,NA,Excellent,"Less than $25,000",1
19966,10,Less than high school diploma or its equivalent,NA,Excellent,"$25,000 to $49,999",1
19967,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Excellent,"$75,000 to $99,999",1
19968,8,Less than high school diploma or its equivalent,0.1 to 29.9 hours,Good,"$25,000 to $49,999",1
19969,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Excellent,"$125,000 and more",1
19970,8,"University certificate, diploma or degree above the bach...",30.0 to 40.0 hours,Good,"$125,000 and more",1
19971,10,"College, CEGEP or other non-university certificate or di...",NA,Good,"Less than $25,000",1
19972,10,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$50,000 to $74,999",1
19973,5,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Don't know,Good,"Less than $25,000",0
19974,8,"University certificate, diploma or degree above the bach...",30.0 to 40.0 hours,Fair,"$50,000 to $74,999",0
19975,10,Less than high school diploma or its equivalent,30.0 to 40.0 hours,Excellent,"Less than $25,000",0
19976,10,Less than high school diploma or its equivalent,NA,Good,"Less than $25,000",1
19977,8,"College, CEGEP or other non-university certificate or di...",0.1 to 29.9 hours,Excellent,"$25,000 to $49,999",1
19978,2,Less than high school diploma or its equivalent,30.0 to 40.0 hours,Fair,"Less than $25,000",0
19979,10,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Good,"$25,000 to $49,999",0
19980,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",40.1 to 50.0 hours,Excellent,"$25,000 to $49,999",0
19981,10,Less than high school diploma or its equivalent,NA,Good,"$25,000 to $49,999",0
19982,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Excellent,"$50,000 to $74,999",1
19983,8,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Excellent,"Less than $25,000",0
19984,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",40.1 to 50.0 hours,Very good,"$100,000 to $ 124,999",1
19985,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Very good,"$25,000 to $49,999",1
19986,7,Less than high school diploma or its equivalent,NA,Good,"$25,000 to $49,999",1
19987,9,Less than high school diploma or its equivalent,NA,Good,"Less than $25,000",1
19988,NA,NA,NA,NA,"$75,000 to $99,999",1
19989,3,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Fair,"$25,000 to $49,999",1
19990,6,Less than high school diploma or its equivalent,NA,Good,"Less than $25,000",0
19991,8,University certificate or diploma below the bachelor's level,30.0 to 40.0 hours,Good,"$25,000 to $49,999",0
19992,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Excellent,"Less than $25,000",1
19993,10,University certificate or diploma below the bachelor's level,NA,Good,"Less than $25,000",1
19994,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Very good,"$125,000 and more",2
19995,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Very good,"Less than $25,000",1
19996,10,"University certificate, diploma or degree above the bach...",0.1 to 29.9 hours,Excellent,"$125,000 and more",1
19997,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Excellent,"$25,000 to $49,999",1
19998,NA,NA,NA,NA,"$125,000 and more",1
19999,NA,NA,Don't know,Don't know,"$25,000 to $49,999",1
20000,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Very good,"$100,000 to $ 124,999",1
20001,10,Less than high school diploma or its equivalent,NA,Good,"Less than $25,000",4
20002,6,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Excellent,"$25,000 to $49,999",1
20003,9,"University certificate, diploma or degree above the bach...",30.0 to 40.0 hours,Good,"$25,000 to $49,999",1
20004,10,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$50,000 to $74,999",0
20005,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Good,"$25,000 to $49,999",1
20006,10,High school diploma or a high school equivalency certificate,40.1 to 50.0 hours,Good,"$25,000 to $49,999",1
20007,10,High school diploma or a high school equivalency certificate,NA,Very good,"Less than $25,000",1
20008,10,"College, CEGEP or other non-university certificate or di...",50.1 hours and more,Excellent,"Less than $25,000",0
20009,8,"College, CEGEP or other non-university certificate or di...",NA,Excellent,"Less than $25,000",1
20010,8,High school diploma or a high school equivalency certificate,NA,Good,"Less than $25,000",1
20011,7,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Very good,"$75,000 to $99,999",0
20012,7,Trade certificate or diploma,NA,Good,"Less than $25,000",0
20013,10,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Excellent,"$50,000 to $74,999",1
20014,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$75,000 to $99,999",1
20015,8,"College, CEGEP or other non-university certificate or di...",0.1 to 29.9 hours,Fair,"Less than $25,000",1
20016,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Very good,"Less than $25,000",1
20017,8,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Good,"Less than $25,000",0
20018,8,High school diploma or a high school equivalency certificate,NA,Fair,"Less than $25,000",1
20019,9,University certificate or diploma below the bachelor's level,NA,Very good,"$50,000 to $74,999",1
20020,10,Trade certificate or diploma,NA,Very good,"Less than $25,000",1
20021,5,High school diploma or a high school equivalency certificate,NA,Good,"Less than $25,000",1
20022,8,Trade certificate or diploma,30.0 to 40.0 hours,Excellent,"$25,000 to $49,999",0
20023,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$50,000 to $74,999",1
20024,10,"University certificate, diploma or degree above the bach...",0.1 to 29.9 hours,Very good,"$75,000 to $99,999",1
20025,6,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Fair,"$125,000 and more",1
20026,10,"University certificate, diploma or degree above the bach...",30.0 to 40.0 hours,Excellent,"$100,000 to $ 124,999",2
20027,8,High school diploma or a high school equivalency certificate,50.1 hours and more,Very good,"$100,000 to $ 124,999",1
20028,10,"College, CEGEP or other non-university certificate or di...",0.1 to 29.9 hours,Very good,"Less than $25,000",0
20029,8,Less than high school diploma or its equivalent,30.0 to 40.0 hours,Good,"Less than $25,000",0
20030,10,"College, CEGEP or other non-university certificate or di...",Don't know,Excellent,"Less than $25,000",1
20031,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Very good,"$50,000 to $74,999",1
20032,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Excellent,"$50,000 to $74,999",1
20033,10,"College, CEGEP or other non-university certificate or di...",0.1 to 29.9 hours,Excellent,"Less than $25,000",1
20034,9,Less than high school diploma or its equivalent,NA,Good,"$25,000 to $49,999",1
20035,6,High school diploma or a high school equivalency certificate,NA,Very good,"Less than $25,000",0
20036,8,University certificate or diploma below the bachelor's level,NA,Good,"$25,000 to $49,999",3
